agency_id,route_short_name,route_long_name,route_desc,route_type,route_url,route_color
RTP,68,Place de Clichy - Châtillon-Montrouge,,3,,ffcd01
RTP,69,Gambetta - Champ de Mars,,3,,87d3df
RTP,7,La Courneuve-8-Mai-1945 - Villejuif-Aragon / Mairie d'Ivry,,1,,DF9AB1
RTP,70,Hôtel de Ville - Radio-France,,3,,f68f4b
RTP,72,Hôtel de Ville - Parc de St-Cloud,,3,,ed1b2a
RTP,73,Musée d'Orsay - La Garenne-Colombes Place de Belgique,,3,,8d653a
RTP,74,Hôtel de Ville - Porte de Clichy - Clichy Berges de Seine,,3,,cec92a
RTP,75,Pont Neuf - Porte de Pantin,,3,,ffcd02
RTP,76,Louvre-Rivoli - Bagnolet Louise Michel,,3,,652c90
RTP,7B,Pré-Saint-Gervais - Louis Blanc,,1,,79BB92
RTP,8,Balard - Créteil-Pointe du Lac,,1,,C5A3CA
RTP,80,Mairie du XVIIIè - Porte de Versailles,,3,,f59eb3
RTP,81,Châtelet - Porte de St-Ouen,,3,,c9a2cd
RTP,82,Luxembourg - Neuilly Hôpital Américain,,3,,f68f4b
RTP,83,Friedland-Haussmann - Porte d'Ivry Claude Régaud,,3,,ffcd02
RTP,84,Panthéon - Porte de Champerret,,3,,c9a2cd
RTP,85,Luxembourg - Mairie du XVIIIè - Mairie de St-Ouen,,3,,8d653a
RTP,86,St-Germain-des-Prés - St-Mandé Demi-Lune,,3,,ed1b2a
RTP,87,Champ de Mars - Bastille - Porte de Reuilly,,3,,652c90
RTP,88,Montsouris-Tombe Issoire - Hôpital Européen Georges Pompidou,,3,,cec92a
RTP,89,Bibliothèque François Mitterrand - Gare de Vanves-Malakoff,,3,,87d3df
RTP,9,Pont de Sèvres - Mairie de Montreuil,,1,,CDC83F
RTP,91,Montparnasse 2 Gare TGV - Bastille,,3,,dfb03a
RTP,92,Gare Montparnasse - Porte de Champerret,,3,,ffcd02
RTP,93,Invalides - Suresnes de Gaulle,,3,,77c695
RTP,94,Gare Montparnasse - Gare St-Lazare - Levallois Louison Bobet,,3,,bb499c
RTP,95,Porte de Vanves - Porte de Montmartre,,3,,8d653a
RTP,96,Gare Montparnasse - Porte des Lilas,,3,,dfb03a
RTP,AMIBUS,(CHATILLON-MONTROUGE-METRO <-> MAIRIE DE CHATILLON) - Aller,,3,,FFFFFF
RTP,BALABUS,Gare de Lyon - La Défense,,3,,FFFFFF
RTP,CHOISYBUS,CHOISYB (SERV URBAIN DE CHOISY LE ROI <-> CIRCULAIRE) - Aller,,3,,FFFFFF
RTP,EOLIEN,541 (CONSERVATOIRE-PRESSENSE <-> CIMETIERE NOUVEAU) - Aller,,3,,FFFFFF
RTP,FUNICULAIR,Funiculaire de Montmartre,,7,,FFFFFF
RTP,MONTMARTRO,Mairie du 18e-Jules Joffrin - Pigalle,,3,,FFFFFF
Noctilien,N01,Gare de l'Est - Gare de l'Est (circulaire intérieure),,3,,bb499c
Noctilien,N02,Gare Montparnasse - Gare Montparnasse (circulaire extérieure),,3,,ed1b29
Noctilien,N11,Pont de Neuilly - Château de Vincennes,,3,,f68f4b
Noctilien,N12,Pont de Sèvres - Romainville Carnot,,3,,dfb03a
Noctilien,N122,Châtelet - Saint-Rémy-lès-Chevreuse RER,,3,,4d8fcd
Noctilien,N13,Mairie d'Issy - Bobigny Pablo Picasso,,3,,f59eb3
Noctilien,N14,Bourg-la-Reine - Mairie de St-Ouen,,3,,77c695
Noctilien,N15,Villejuif Louis Aragon - Gabriel Péri,,3,,ffcd02
Noctilien,N153,Gare Saint-Lazare - Gare de Saint-Germain-en-Laye,,3,,ed1b29
Noctilien,N16,Mairie de Montreuil - Pont de Levallois,,3,,cec92a
Noctilien,N21,Châtelet - Chilly-Mazarin Libération,,3,,77c695
Noctilien,N22,Châtelet - Rungis Marché International,,3,,ffcd02
Noctilien,N23,Châtelet - Chelles-Gournay,,3,,dfb03a
Noctilien,N24,Châtelet - Bezons Grand Cerf,,3,,f68f4b
Noctilien,N31,Gare de Lyon - Juvisy,,3,,f59cb3
Noctilien,N32,Gare de Lyon - Boissy-St-Léger,,3,,dfb03a
Noctilien,N33,Gare de Lyon - Villiers-sur-Marne-Le-Plessis-Trévise,,3,,f68f4b
Noctilien,N34,Gare de Lyon - Torcy,,3,,cec92a
Noctilien,N35,Gare de Lyon - Nogent-Le Perreux,,3,,ffcd02
Noctilien,N41,Gare de l'Est - Sevran-Livry,,3,,f59eb3
Noctilien,N42,Gare de l'Est - Aulnay-sous-Bois Garonor,,3,,dfb03a
Noctilien,N43,Gare de l'Est - Gare de Sarcelles-St-Brice,,3,,f68f4b
Noctilien,N44,Gare de l'Est - Pierrefitte-Stains,,3,,77c695
Noctilien,N45,Gare de l'Est - Hôpital de Montfermeil,,3,,ffcd02
Noctilien,N51,Gare St-Lazare - Gare d'Enghien-les-Bains,,3,,ffcd02
Noctilien,N52,Gare St-Lazare - Gare d'Argenteuil,,3,,cec92a
Noctilien,N53,Gare St-Lazare - Nanterre-Université,,3,,77c695
Noctilien,N61,Gare Montparnasse - Vélizy-Villacoublay Hôtel de Ville,,3,,dfb03a
Noctilien,N62,Gare Montparnasse - Robinson,,3,,f59eb3
Noctilien,N63,Gare Montparnasse - Massy-Palaiseau,,3,,cec92a
RTP,N66,(GARE MONTPARNASSE <-> ROBERT WAGNER) - Aller,,3,,FFFFFF
Noctilien,N71,Rungis Marché International - St-Maur-Créteil,,3,,be408d
RTP,ORLYBUS,Denfert-Rochereau - Aéroport d'Orly,,3,,FFFFFF
RTP,ORLYVAL,Antony - Aéroport d'Orly,,3,,FFFFFF
RTP,PC1,Porte de Champerret - Pont du Garigliano,,3,,FFFFFF
RTP,PC3,Porte Maillot - Porte de la Villette,,3,,FFFFFF
RTP,ROISSYBUS,Opéra - Aéroport CDG Roissypôle,,3,,FFFFFF
RTP,T1,Noisy-le-Sec - Asnieres-Gennevilliers Les Courtilles,,0,,216EB4
RTP,T2,Pont de Bezons - Porte de Versailles,,0,,BB4D98
RTP,T3a,Pont Garigliano Hôpital G. Pompidou - Porte de Vincennes,,0,,DE8B53
RTP,T3b,Porte de Vincennes - Porte de la Chapelle,,0,,008b5a
RTP,T5,Garges-Sarcelles - Marché de Saint-Denis,,0,,FFFFFF
RTP,T6,(CHATILLON - MONTROUGE <-> ROBERT WAGNER) - Aller,,0,,FFFFFF
RTP,T7,(PORTE DE L'ESSONNE <-> VILLEJUIF - LOUIS ARAGON) - Aller,,0,,FFFFFF
RTP,T8,(SAINT-DENIS - PORTE DE PARIS <-> VILLETANEUSE-UNIVERSITE) - Aller,,0,,FFFFFF
RTP,TILLBUS,Les Lilas Place du Vel' d'Hiv' — Les Lilas Place du Vel' d'Hiv' (circulaire) (service urbain des Li,,3,,FFFFFF
RTP,TIM,Meudon Val Fleury - Gare de Bellevue (circulaire) (service urbain de Meudon),,3,,FFFFFF
RTP,TUVIM,Mairie d'Issy - Mairie d'Issy (circulaire) (service urbain d'Issy-les-Moulineaux),,3,,FFFFFF
RTP,TVM,La Croix de Berny - Saint-Maur Créteil,,3,,FFFFFF
