agency_id,route_short_name,route_long_name,route_desc,route_type,route_url,route_color
RTP,141,La Défense Grande Arche - Lycée de Rueil-Malmaison,,3,,e0b03b
RTP,143,La Courneuve-Aubervilliers - Drancy Lycée Delacroix - Rosny-sous-Bois,,3,,006cb8
RTP,144,La Défense Grande Arche - Rueil-Malmaison,,3,,c9a2cd
RTP,145,Eglise de Pantin - Cimetière de Villemomble,,3,,bb4b9c
RTP,146,Le Bourget - Montfermeil Les Bosquets,,3,,c9a2cd
RTP,147,Eglise de Pantin - Sevran Avenue Ronsard,,3,,ed1b2a
RTP,148,Bobigny Pablo Picasso - Le Blanc-Mesnil Musée de l'Air / Aulnay-sous-Bois Garonor,,3,,8d653a
RTP,150,Porte de la Villette - Pierrefitte-Stains,,3,,f59eb3
RTP,151,Porte de Pantin - Bondy Jouhaux-Blum,,3,,bb4b9c
RTP,152,Porte de la Villette - Le Blanc-Mesnil ZA du Pont Yblon - Gonesse ZAC des Tulipes,,3,,ed1b2a
RTP,153,Porte de la Chapelle - Stains Moulin Neuf,,3,,008b5a
RTP,156,St-Denis - Gare d'Epinay-Villetaneuse,,3,,ffcd02
RTP,157,Pont de Neuilly - Nanterre-Ville - Nanterre Boulevard de Seine,,3,,bb499c
RTP,158,Pont de Neuilly - Rueil-Malmaison,,3,,f68f4b
RTP,159,La Défense Grande Arche - Nanterre Cité du Vieux Pont,,3,,652c90
RTP,160,Nanterre-Préfecture - Pont de Sèvres,,3,,008b5a
RTP,162,Meudon Val Fleury - Villejuif Louis Aragon,,3,,006cb8
RTP,163,Porte de Champerret - Bezons Grand Cerf,,3,,dfb03a
RTP,164,Porte de Champerret - Argenteuil Collège Claude Monet,,3,,bb499c
RTP,165,Porte de Champerret - Asnières Robert Lavergne,,3,,f68f4b
RTP,166,Porte de Clignancourt - Colombes Audra,,3,,652c90
RTP,167,Pont de Levallois - Nanterre-Ville,,3,,77c695
RTP,169,Pont de Sèvres - Hôpital Européen Georges Pompidou,,3,,77c695
RTP,170,Porte des Lilas - St-Denis,,3,,87d3df
RTP,171,Pont de Sèvres - Gare de Chaville R.D. / Gare de Chaville R.G. / Château de Versailles,,3,,ed1b2a
RTP,172,Bourg-la-Reine - Créteil l'Echat Parking,,3,,008b5a
RTP,173,Porte de Clichy - La Courneuve 8 Mai 1945,,3,,006cb8
RTP,174,La Défense Grande Arche - St-Ouen,,3,,008b5a
RTP,175,Porte de St-Cloud - Gabriel Péri,,3,,006cb8
RTP,176,Pont de Neuilly - Colombes Petit Gennevilliers,,3,,e0b03b
RTP,177,Gabriel Péri - Villeneuve-la-Garenne ZI Nord,,3,,77c695
RTP,178,La Défense Grande Arche - Villeneuve-la-Garenne Place Paul Herbé,,3,,006cb8
RTP,179,Pont de Sèvres - Robinson,,3,,008b5a
RTP,180,Villejuif Louis Aragon - Charenton Ecoles,,3,,9c983a
RTP,181,Ecole Vétérinaire de Maisons-Alfort - Créteil La Gaîté,,3,,8d653a
RTP,182,Mairie d'Ivry - Choisy-le-Roi Pont de Choisy - Villeneuve-Triage,,3,,bb4b9c
RTP,183,Porte de Choisy - Mairie d'Orly - Aéroport d'Orly-Sud,,3,,ed1b2a
RTP,184,Porte d'Italie - Fresnes Pasteur,,3,,dfb03a
RTP,185,Porte d'Italie - Rungis Marché International - Rungis MIN Marée,,3,,f18b3a
RTP,186,Porte d'Italie - Fresnes Rond-point Roosevelt,,3,,b43c95
RTP,187,Porte d'Orléans - Fresnes Charcot-Zola,,3,,652c90
RTP,188,Porte d'Orléans - Bagneux Rosenberg,,3,,c9a2cd
RTP,189,Porte de St-Cloud - Clamart Georges Pompidou,,3,,f68f4b
RTP,190,Mairie d'Issy - Clamart Cité de la Plaine - Rond-point du Petit Clamart - Vélizy 2,,3,,8d653a
RTP,191,Porte de Vanves - Malakoff Rue Etienne Dolet - Clamart Place du Garde,,3,,f59fb3
RTP,192,Robinson - Rungis Marché International,,3,,77c695
RTP,194,Porte d'Orléans - Châtenay-Malabry Lycée Polyvalent,,3,,f68f4b
RTP,195,Châtillon-Montrouge - Clamart-Fontenay Division Leclerc - Robinson,,3,,bb4b9c
RTP,196,Antony - Massy-Palaiseau,,3,,e0b03b
RTP,197,Porte d'Orléans - Massy Opéra-Théâtre,,3,,ed1b2a
RTP,199,Massy-Palaiseau - Saulx-les-Chartreux Collège Pablo Picasso / Longjumeau La Rocade-Lycée,,3,,cec92a
RTP,2,Nation - Porte Dauphine,,1,,216EB4
RTP,20,Gare St-Lazare - Gare de Lyon,,3,,f68f4b
RTP,201,Joinville-le-Pont - Champigny Diderot-La Plage,,3,,8d653a
RTP,203,Neuilly-Plaisance - Neuilly-sur-Marne Cité des Bouleaux,,3,,f59fb3
RTP,206,Noisy-le-Grand Mont d'Est - Le Plessis-Trévise Place Gambetta - Emerainville-Pontault-Combault,,3,,8d653a
RTP,207,Noisy-le-Grand Mont d'Est - Hôpital de la Queue-en-Brie,,3,,dfb03a
RTP,208,(PLACE DE LA RESISTANCE <-> CHAMPIGNY - SAINT-MAUR RER) - Aller,,3,,FFFFFF
RTP,21,Gare St-Lazare - Stade Charléty,,3,,77c695
RTP,210,Château de Vincennes - Villiers-sur-Marne-Le-Plessis-Trévise,,3,,ffcd01
RTP,211,Torcy - Chelles 2 Centre Commercial,,3,,f59fb3
RTP,212,Champs-sur-Marne Pointe de Champs - Noisy-Champs Descartes - Emerainville-Pontault-Combault,,3,,87d3df
RTP,213,Chelles-Gournay - Noisy-Champs Descartes - Lognes Le Village,,3,,9b993b
RTP,214,Neuilly-Plaisance - Neuilly-sur-Marne Z.I. des Chanoux / Gagny Roger Salengro,,3,,c9a2cd
RTP,215,Porte de Montreuil - Vincennes République,,3,,77c695
RTP,216,Denfert-Rochereau - Rungis Marché International,,3,,ed1b2a
RTP,217,Mairie d'Alfortville - Hôtel de Ville de Créteil,,3,,652c90
RTP,22,Opéra - Porte de St-Cloud,,3,,008b5a
RTP,220,Bry-sur-Marne - Torcy,,3,,bb499c
RTP,221,Galliéni - Gagny Pointe de Gournay,,3,,f59fb3
RTP,234,Fort d'Aubervilliers - Mairie de Livry-Gargan,,3,,f68f4b
RTP,235,Gabriel Péri - Colombes Europe,,3,,ffcd02
RTP,237,Mairie de St-Ouen - L'Île-St-Denis Parc Départemental Collège Sisley,,3,,c9a2cd
RTP,238,Pont de Levallois - Asnières Mourinoux / St-Gratien,,3,,f59eb3
RTP,239,Porte de la Chapelle - Basilique de St-Denis Médiathèque,,3,,bb4b9c
RTP,24,Gare St-Lazare - Maubert-Mutualité - Gare d'Austerlitz - Ecole Vétérinaire de Maisons-Alfort,,3,,bb4b9c
RTP,241,Porte d'Auteuil - Suresnes Place de la Paix - Rueil-Malmaison,,3,,8d653a
RTP,244,Porte Maillot - Rueil-Malmaison,,3,,bb4b9c
RTP,247,(GARONOR <-> STADE CHARLES SAGE) - Aller,,3,,f68f4b
RTP,248,Fort d'Aubervilliers - Drancy RER,,3,,c9a2cd
RTP,249,Porte des Lilas • Porte de la Villette - Dugny Centre-ville,,3,,cec92a
RTP,250,Fort d'Aubervilliers - Gonesse La Fontaine Cypière Z.I.,,3,,b43c95
RTP,251,Bobigny Benoît Frachon - Bobigny Pablo Picasso - Aulnay-sous-Bois,,3,,ed1b2a
RTP,252,Porte de la Chapelle - Garges-Sarcelles,,3,,ed1b2a
RTP,253,Stade de France St-Denis - Mairie de Stains,,3,,ffcd02
RTP,254,St-Denis Porte de Paris - Pierrefitte-Stains - Mairie de Montmagny,,3,,FFFFFF
RTP,255,Porte de Clignancourt - Stains Les Prévoyants - Garges Rond-point de la Lutèce,,3,,9c983a
RTP,256,La Courneuve-Aubervilliers - Gare d'Enghien-les-Bains - Lycée d'Enghien,,3,,8d653a
RTP,258,La Défense Grande Arche - St-Germain-en-Laye,,3,,ed1b2a
RTP,26,Gare St-Lazare - Nation Place des Antilles,,3,,f68f4b
RTP,261,Mairie de Villeneuve-la-Garenne - Eglise de Franconville,,3,,ed1b2a
RTP,262,La Défense Grande Arche - Maisons-Laffitte,,3,,bb499c
RTP,268,St-Denis Porte de Paris - St-Denis Université - Villiers-le-Bel-Gonesse,,3,,dfb03a
RTP,269,Garges-Sarcelles - Hôtel de Ville d'Attainville,,3,,f68f4b
RTP,27,Gare St-Lazare - Porte d'Ivry Claude Regaud,,3,,f68f4b
RTP,270,Garges-Sarcelles - Villiers-le-Bel-Gonesse,,3,,f59eb3
RTP,272,La Défense Grande Arche - Sartrouville De Gaulle - Sartrouville,,3,,f68f4b
RTP,274,Levallois Voltaire-Villiers - St-Denis Place Jean Poulmarch,,3,,ed1b2a
RTP,275,La Défense Grande Arche - Hérold Mairie de Courbevoie - Pont de Levallois,,3,,ffcd02
RTP,276,La Défense Grande Arche - Gabriel Péri,,3,,ed1b2a
RTP,278,La Défense Grande Arche - Courbevoie Europe,,3,,c9a2cd
RTP,28,Gare St-Lazare - Porte d'Orléans,,3,,f59eb3
RTP,281,Joinville-le-Pont - Créteil Europarc,,3,,dfb03a
RTP,285,Villejuif Louis Aragon - Juvisy,,3,,bb4b9c
RTP,286,Villejuif Louis Aragon - Antony,,3,,c9a2cd
RTP,289,Porte de St-Cloud - Clamart Cité de la Plaine,,3,,bb4b9c
RTP,29,Gare St-Lazare - Porte de Montempoivre,,3,,87d3df
RTP,290,Issy-Val de Seine - Meudon-la-Forêt Europe Nord - Meudon-la-Forêt Pasteur,,3,,c9a2cd
RTP,291,Pont de Sèvres - Vélizy Europe Sud,,3,,9c983a
RTP,292,Rungis Marché International - Savigny-sur-Orge Z.A.C. Les Gâtines,,3,,f59eb3
RTP,294,Châtillon-Montrouge - Igny,,3,,c9a2cd
RTP,297,Porte d'Orléans - Antony - Longjumeau Place Charles Stéber,,3,,bb499c
RTP,299,Porte d'Orléans - Mairie de Morangis,,3,,f68f4b
RTP,3,Gallieni - Pont de Levallois-Bécon,,1,,9A9940
RTP,30,Gare de l'Est - Trocadéro,,3,,652c90
RTP,301,Bobigny Pablo Picasso - Val de Fontenay,,3,,cec92b
RTP,302,Gare du Nord - La Courneuve 6 Routes,,3,,ffcd02
RTP,303,Bobigny Pablo Picasso - Noisy-le-Grand Mont d'Est,,3,,9b993b
RTP,304,Les Courtilles - Nanterre Place de la Boule,,3,,cec92a
RTP,306,St-Maur-Créteil - Noisy-le-Grand Mont d'Est,,3,,006cb8
RTP,308,Créteil Préfecture du Val de Marne - Villiers-sur-Marne-Le-Plessis-Trévise,,3,,77c695
RTP,31,Gare de l'Est - Charles de Gaulle-Etoile,,3,,ffcd02
RTP,310,Noisy Champs RER - Les Yvris Noisy-le-Grand RER,,3,,cec92a
RTP,312,Chelles-Gournay - Noisy-Champs Descartes,,3,,f68f4b
RTP,317,Hôtel de Ville de Créteil - Le Parc de St-Maur - Nogent-Le Perreux,,3,,cec92a
RTP,318,Château de Vincennes - Bobigny-Pantin Raymond Queneau,,3,,006cb8
RTP,319,Massy-Palaiseau - Massy Opéra-Théâtre - Rungis Marché International,,3,,008b5a
RTP,32,Gare de l'Est - Porte d'Auteuil,,3,,9c983a
RTP,320,Noisy-le-Grand Mont d'Est - Noisy-le-Grand Mont d'Est (circulaire),,3,,ffcd02
RTP,321,Lognes - Aérodrome de Lognes - Croissy-Beaubourg Z.I. Pariest,,3,,ffcd02
RTP,322,Bobigny Pablo Picasso - Mairie de Montreuil,,3,,87d3df
RTP,323,Issy-Val de Seine - Ivry-sur-Seine,,3,,cec92b
RTP,325,Bibliothèque François Mitterrand - Château de Vincennes,,3,,87d3df
RTP,330,Fort d'Aubervilliers - Pantin Raymond Queneau Anatole France,,3,,ffcd02
RTP,333,Garges-Sarcelles - Garges L'Argentière,,3,,006CB8
RTP,334,Les Pavillons-sous-Bois Rd Pt Robert Schuman - Pont de Bondy (circulaire),,3,,ffcd02
RTP,337,Deuil-la-Barre Zone artisanale du Moutier - Pierrefitte Stains RER,,3,,652c90
RTP,340,Gennevilliers Les Louvresses - Gabriel Péri - Clichy Hôpital Beaujon - Clichy Berges de Seine,,3,,e0b03b
RTP,341,Mairie de Clichy Landy-Martre - Porte de Clignancourt,,3,,ffcd02
RTP,346,Rosny 2 Nord - Le Blanc-Mesnil Place de la Libération,,3,,cec92b
RTP,347,Pont de Bondy - Avenue de Rosny - Hôtel de Ville de Montfermeil - Hôpital de Montfermeil,,3,,bb4b9c
RTP,349,Parc des Expositions - Aéroport CDG Roissypole - Route de l'Arpenteur ADP,,3,,77c695
RTP,35,Gare de l'Est - Mairie d'Aubervilliers,,3,,77c695
RTP,350,Gare de l'Est - Aéroport CDG Roissypole,,3,,652c90
RTP,351,Nation - Aéroport CDG Roissypole,,3,,e0b03b
RTP,355,Sarcelles Bois d'Ecouen - Gare de Sarcelles-St-Brice - Sarcelles Sous-préfecture,,3,,652c90
RTP,356,St-Denis Université - Deuil-la-Barre Marché des Mortefontaines,,3,,f68f4b
RTP,360,La Défense Grande Arche - Hôpital de Garches,,3,,cec92b
RTP,361,St-Denis - St-Denis Université - Gare d'Argenteuil,,3,,006cb8
RTP,366,Colombes Île Marante - Colombes Fossés Jean (circulaire) [Colomb'bus],,3,,006cb8
RTP,367,Gare de Colombes - Rueil-Malmaison,,3,,ffcd02
RTP,368,Garges-Sarcelles - Garges-Sarcelles (circulaire),,3,,cec92a
RTP,370,Villiers-le-Bel-Gonesse - Marché de St-Brice,,3,,87d3df
RTP,372,Maisons-Alfort-Alfortville - Maisons-Alfort Louis Fliche,,3,,ffcd02
RTP,378,La Défense Grande Arche - Mairie de Villeneuve-la-Garenne,,3,,008b5a
RTP,379,Vélizy 2 - La Croix de Berny,,3,,ffcd01
RTP,38,Gare du Nord - Porte d'Orléans,,3,,006cb8
RTP,380,(VACHE NOIRE - CENTRE COMMERCIAL <-> VILLEJUIF - LOUIS ARAGON) - Aller,,3,,FFFFFF
RTP,385,Juvisy - Savigny-sur-Orge Toulouse-Lautrec - Epinay-sur-Orge,,3,,dfb03a
RTP,388,Châtillon-Montrouge - Bourg-la-Reine,,3,,ffcd01
RTP,389,Pont de Sèvres - Meudon-la-Forêt Centre Administratif,,3,,006cb8
RTP,39,Gare du Nord - Issy Frères Voisin,,3,,bb4b9c
RTP,390,Bourg-la-Reine - Hôtel de Ville de Vélizy-Villacoublay,,3,,87d3df
RTP,391,Châtillon-Montrouge - Bagneux Pont Royal,,3,,cec92b
RTP,393,Villejuif Louis Aragon - Sucy-Bonneuil,,3,,FFFFFF
RTP,394,Issy Val de Seine - Bourg-la-Reine,,3,,652c90
RTP,395,Antony - Clamart Georges Pompidou,,3,,006cb8
RTP,396,La Croix de Berny - Thiais Belle Epine Sud,,3,,cec92a
RTP,399,Massy-Palaiseau - Juvisy,,3,,87d3df
RTP,3B,Porte des Lilas - Gambetta,,1,,89C7D6
RTP,4,Porte de Clignancourt - Mairie de Montrouge,,1,,BB4D98
RTP,42,Gare du Nord - Hôpital Européen Georges Pompidou,,3,,006cb8
RTP,421,Gare de Vaires-Torcy - Emerainville-Pontault-Combault,,3,,008b5a
RTP,426,(PONT DE SEVRES <-> LA CELLE ST-CLOUD - GARE SNCF) - Aller,,3,,8d653a
RTP,43,Gare du Nord - Neuilly Bagatelle,,3,,ed1b2a
RTP,459,Gare de St-Cloud - Rueil Henri Régnault,,3,,ed1b2a
RTP,46,Gare du Nord - Château de Vincennes,,3,,cec92a
RTP,467,Pont de Sèvres - Rueil-Malmaison,,3,,9b983a
RTP,47,Gare de l'Est - Le Kremlin-Bicêtre Fort de Bicêtre,,3,,f59eb3
RTP,471,Les Coteaux - Gare de Versailles Rive Droite,,3,,006cb8
RTP,48,Palais-Royal - Porte des Lilas,,3,,006cb8
RTP,485,Juvisy - Athis-Mons Centre Commercial,,3,,f68f4b
RTP,486,Juvisy - Paray-Vieille-Poste Mairie - Athis-Mons Centre Commercial Rigolet,,3,,008b5a
RTP,487,Juvisy - Athis-Mons Place Henri Deudon - Athis-Mons Centre Commercial / Athis-Mons Les Oiseaux,,3,,ffcd02
RTP,488,(PLACE HENRI DEUDON <-> JUVISY RER) - Aller,,3,,006cb8
RTP,492,Savigny-sur-Orge - Chilly-Mazarin Place de la Libération,,3,,ffcd02
RTP,5,Bobigny-Pablo-Picasso - Place d'Italie,,1,,DE8B53
RTP,501,Traverse Charonne - Gambetta via Lagny-Maraîchers (circulaire),,3,,006CB8
RTP,512,Front Populaire Gardinoux - Mairie d'Aubervilliers,,3,,ffcd02
RTP,513,Traverse Bièvre Montsouris - Place de l'Abbé Georges Hénocque via Alésia Général Leclerc (circulair,,3,,BB499C
RTP,518,Traverse Batignolles-Bichat - Hôpital Bichat via Pont Cardinet (circulaire),,3,,652C90
RTP,519,Traverse Ney-Flandre - Porte d'Aubervilliers Oberlé via Place de la Chapelle (circulaire),,3,,C9A2CD
RTP,52,Opéra - Charles de Gaulle-Etoile - Porte d'Auteuil - Parc de St-Cloud,,3,,87d3df
RTP,520,Bry-sur-Marne - Les Hauts de Bry (SFP),,3,,008b5a
RTP,524,La Navette / Le Bus Fontenaysien - Fontenay-sous-Bois Les Parapluies - Fontenay-sous-Bois Les Aloue,,3,,652c90
RTP,526,MontBus Chatillon (Circulaire),,3,,006cb8
RTP,53,Opéra - Pont de Levallois,,3,,cec92a
RTP,537,L'Audonienne - Saint-Ouen-Payret - Saint-Ouen-Debain (Service urbain de Saint-Ouen),,3,,f59eb3
RTP,538,(DIRECTION DU PORT) - Retour,,3,,9b983a
RTP,54,Porte d'Aubervilliers - Gabriel Péri,,3,,8ec3d1
RTP,542,V1 - Mairie de l'Haÿ-les-Roses - Le Kremlin-Bicêtre Leclerc-Thomas,,3,,efefef
RTP,544,Autobus Suresnois - Général de Gaulle via Gare de Suresnes-Mont Valérien / via Place de la Républiq,,3,,006cb8
RTP,545,Noisy-le-Sec - Bagnolet Louise Michel,,3,,ffcd01
